Model,Commodity,H,Return %,Sharpe,Max DD %,Trades,Win Rate,Profit Factor
attention_vision_dual_stream_sweep_059l7d94,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_0rtp3sed,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_14fvkk3s,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_1s5mm9q5,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_1w16w0q5,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_21c8ivdd,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_2bd187ab,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_34lbosjs,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_3cplqb3n,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_3d69f2tw,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_3emdcf6l,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_474hz842,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_4a8g1om0,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_4qhwe5c9,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_53xv4tmz,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_5bom6b93,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_5hyu7ick,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_5hz5t0k2,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_5pxvbntm,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_64wlmrdi,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_6k94vt9z,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_6nuokwfr,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_7mkpqsmw,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_85o5r8f6,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_88avn2qe,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_8b3rxurk,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_8csbwwhp,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_8jnjnual,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_8sao6vck,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_99r184ta,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_9cnldthm,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_bf409kar,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_bn54vn2x,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_bp5c7b3v,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_dwk8bzlf,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_e19upqiq,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_e5obatsb,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_eqc4jjk8,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_fe2z6i2c,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_fo73q2er,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_gydgs09c,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_gzkkc9cm,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_hulcmf3w,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_igpa31b0,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_is2xepgx,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_iu5hn3gk,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_j3b98r2z,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_j966slqb,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_j9ixcrlv,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_jn4hgaof,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_k18ee93j,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_kfcoupjb,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_kwqdjiek,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_kxe70gm8,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_lmdtfyn6,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_lsxi9489,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_m3qnm97v,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_m6rufy2a,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
