Model,Commodity,H,Return %,Sharpe,Max DD %,Trades,Win Rate,Profit Factor
attention_vision_dual_stream_sweep_milqde2t,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_mlq912l3,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_nik3qwhl,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_nitpfppe,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_nvqmwcmh,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_nxvw1ta2,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_o89zrlm1,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_oyyyivx2,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_p3wgu6pd,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_pa8fz9m4,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_pdfxbljg,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_pegubo81,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_pf6rnxb2,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_qqk21f2a,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_rnonrejc,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_rntpv9co,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_rut7la8n,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_s1jn957b,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_sfly9hxc,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_sjjgopwc,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_td2vn6bc,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_te8aoo8h,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_ted56oaf,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_u6yku40l,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_ubmddo2g,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_ui883jp8,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_upkneiig,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_v25b8nf0,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_vagpsmzq,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_vkjwzzf8,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_vl5p9ay7,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_vudlk7us,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_w6ez6244,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_warl0e71,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_www5jnnt,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_xa4o5hxf,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_y5dnqct8,corn,1,92.01,5.793,-1.13,656,52.90%,2.81
attention_vision_dual_stream_sweep_y6iyefka,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_ywg3ueum,corn,1,91.27,5.906,-1.02,644,53.11%,2.83
attention_vision_dual_stream_sweep_z4jvo5k5,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
attention_vision_dual_stream_sweep_z6ff8yl9,corn,1,92.00,5.858,-1.13,653,52.99%,2.82
attention_vision_dual_stream_sweep_z9ll8uzv,corn,1,92.96,5.794,-1.12,661,52.95%,2.81
