Model,RMSE,MAE,R2,Direction Acc,Zero Baseline RMSE,Strategy Cum Return,Sharpe,Max Drawdown,Win Rate,Active Periods,Buy & Hold Return
Ridge,0.06682914280474235,0.05102412597310463,-0.07761670396437559,0.5639810426540285,0.06478873788866467,4.2674777803041986,0.5564545694035479,-0.6558618903641872,0.5639810426540285,211,-0.865294722466453
Random Forest,0.06511665899292099,0.04880683429096999,-0.023096862435170395,0.5497630331753555,0.06478873788866467,1.1152638644932957,0.3132552980651765,-0.8584208344327483,0.5497630331753555,211,-0.865294722466453
